City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,vernon,50.2581,-119.2691,21.45,52,96,2.06,CA,1717279552
181,placido de castro,-10.3353,-67.1856,25.46,62,0,1.33,BR,1717279552
182,port-cartier,50.0334,-66.8654,13.12,58,2,2.49,CA,1717279329
183,kobarid,46.2481,13.5772,16.54,90,100,0.55,SI,1717279552
184,sitia,35.2,26.0986,22.77,80,18,1.49,GR,1717279552
185,wynyard,-41.0,145.7167,5.8,83,0,2.54,AU,1717279553
186,cadale,2.7603,46.3222,26.37,87,74,7.91,SO,1717279553
187,arraial do cabo,-22.9661,-42.0278,22.92,73,20,7.72,BR,1717279553
188,leh,34.1667,77.5833,3.19,56,79,2.44,IN,1717279553
189,lompoc,34.6391,-120.4579,20.34,74,20,6.69,US,1717279370
190,hammerfest,70.6634,23.6821,7.25,100,75,0.51,NO,1717279553
191,nuuk,64.1835,-51.7216,1.34,86,100,7.2,GL,1717279501
192,uravakonda,14.95,77.2667,27.14,69,99,7.6,IN,1717279553
193,mount pearl,47.5166,-52.7813,7.07,97,100,4.63,CA,1717279553
194,torghay,49.6339,63.4981,15.89,64,8,6.82,KZ,1717279554
195,porto novo,6.4965,2.6036,28.9,80,73,4.3,BJ,1717279554
196,vanino,49.0869,140.2543,14.4,89,100,4.52,RU,1717279554
197,hasaki,35.7333,140.8333,17.38,80,100,6.19,JP,1717279554
198,grand falls-windsor,48.9332,-55.6649,4.49,97,100,6.12,CA,1717279255
199,tumaco,1.7986,-78.8156,27.53,85,94,4.26,CO,1717279437
200,camarinas,43.1311,-9.1817,14.96,81,6,12.33,ES,1717279554
201,tura,25.5198,90.2201,24.33,95,43,2.05,IN,1717279554
202,lihue,21.9789,-159.3672,28.58,66,20,8.75,US,1717279555
203,prince rupert,54.3161,-130.3201,10.05,85,100,2.06,CA,1717279419
204,susuman,62.7833,148.1667,6.1,60,39,3.58,RU,1717279555
205,susangerd,31.5608,48.1831,34.17,11,0,10.96,IR,1717279555
206,al qaryatayn,34.2296,37.2407,21.33,32,0,2.04,SY,1717279555
207,margaret river,-33.95,115.0667,14.63,74,100,9.8,AU,1717279555
208,howard springs,-12.497,131.047,22.95,88,2,4.51,AU,1717279555
209,noida,28.58,77.33,32.16,23,100,4.19,IN,1717279269
210,san patricio,28.017,-97.5169,34.53,56,12,7.14,US,1717279555
211,holualoa,19.6228,-155.9522,26.97,73,0,4.63,US,1717279556
212,udachny,66.4167,112.4,6.36,66,49,4.61,RU,1717279328
213,santana,-0.0583,-51.1817,28.1,83,20,2.06,BR,1717279556
214,jala,21.0833,-104.4333,36.93,14,21,5.35,MX,1717279556
215,kokopo,-4.352,152.2633,26.69,81,59,1.51,PG,1717279556
216,tazacorte,28.629,-17.9293,20.54,92,0,4.12,ES,1717279556
217,rio grande,-32.035,-52.0986,19.06,81,49,4.24,BR,1717279294
218,letlhakeng,-24.0944,25.0298,14.63,34,5,3.52,BW,1717279556
219,aasiaat,68.7098,-52.8699,-0.39,68,75,1.1,GL,1717279556
220,tamanrasset,22.785,5.5228,28.95,12,0,2.57,DZ,1717279557
221,refojos de basto,41.5132,-7.9952,19.38,58,4,3.72,PT,1717279557
222,vilyuchinsk,52.9306,158.4028,9.15,70,38,1.85,RU,1717279557
223,savannakhet,16.566,104.751,24.62,96,100,2.16,LA,1717279557
224,khorixas,-20.3667,14.9667,7.72,44,0,1.49,NA,1717279557
225,shangzhi,45.2167,127.9667,10.71,93,92,0.4,CN,1717279557
226,vadso,70.0744,29.7487,6.49,93,100,1.54,NO,1717279557
227,austin,30.2672,-97.7431,33.25,64,75,3.09,US,1717278970
228,alofi,-19.0595,-169.9187,24.94,69,40,8.23,NU,1717279558
229,loiza,18.4313,-65.8802,31.62,74,40,6.69,PR,1717279558
230,pama,11.2497,0.7075,31.4,55,29,3.26,BF,1717279558
231,kharp,66.8014,65.8081,-2.94,90,91,3.33,RU,1717279558
232,mastic beach,40.7668,-72.8521,28.42,50,0,6.71,US,1717279558
233,tolanaro,-25.0319,46.9987,19.04,88,0,0.0,MG,1717279558
234,raja,8.4596,25.678,26.34,54,49,2.26,SS,1717279558
235,vrangel',42.7297,133.0839,10.97,96,99,1.27,RU,1717279558
236,pyhaselka,62.4333,29.9667,16.15,83,47,3.02,FI,1717279559
237,pagar alam,-4.0167,103.2667,20.41,96,100,1.56,ID,1717279559
238,alice springs,-23.7,133.8833,3.75,93,0,1.54,AU,1717279368
239,queenstown,-31.8976,26.8753,10.97,93,92,2.41,ZA,1717279559
240,brookings,44.3114,-96.7984,25.62,42,0,1.54,US,1717279421
241,nantucket,41.2835,-70.0995,22.06,44,0,6.69,US,1717279544
242,warrnambool,-38.3833,142.4833,10.52,67,60,2.35,AU,1717279559
243,babolsar,36.7025,52.6576,21.92,80,28,12.71,IR,1717279559
244,sitangkai,4.6628,119.3928,28.75,73,92,1.78,PH,1717279560
245,nanakuli,21.3906,-158.1547,28.97,48,0,6.17,US,1717279458
246,natal,-5.795,-35.2094,25.36,94,75,5.14,BR,1717279268
247,tual,-5.6667,132.75,27.96,80,93,9.7,ID,1717279560
248,stanley,54.868,-1.6985,9.33,91,0,0.51,GB,1717279449
249,corinto,37.9407,22.9573,23.46,67,0,0.25,GR,1717279560
250,berezovyy,51.6667,135.7,10.0,73,98,2.44,RU,1717279560
251,uturoa,-16.7333,-151.4333,26.49,72,78,2.63,PF,1717279560
252,wailua homesteads,22.0669,-159.378,28.24,74,20,8.75,US,1717279560
253,iwanai,42.9744,140.5089,12.76,56,100,2.88,JP,1717279561
254,clearwater,27.9659,-82.8001,33.35,44,0,5.14,US,1717279417
255,sao joao da barra,-21.6403,-41.0511,20.05,72,39,4.93,BR,1717279388
256,ribadesella,43.4614,-5.0596,16.08,80,55,3.98,ES,1717279561
257,codrington,-38.2667,141.9667,6.53,82,12,1.18,AU,1717279561
258,galliano,29.4422,-90.2992,26.0,83,100,4.63,US,1717279561
259,vila franca do campo,37.7167,-25.4333,19.23,99,16,2.54,PT,1717279561
260,mugia,43.1041,-9.2179,14.95,80,6,12.29,ES,1717279561
261,urumqi,43.801,87.6005,17.53,32,0,1.0,CN,1717279561
262,minas de marcona,-15.2119,-75.1103,17.17,61,0,4.38,PE,1717279562
263,campo maior,-4.8278,-42.1686,27.47,62,85,1.75,BR,1717279562
264,jiuquan,39.7432,98.5174,14.65,22,31,1.38,CN,1717279562
265,roma,43.2128,-75.4557,24.49,38,0,3.6,US,1717279562
266,new glasgow,45.5834,-62.6486,8.88,82,97,5.56,CA,1717279538
267,zeya,53.75,127.2667,20.27,47,5,2.74,RU,1717279562
268,toliara,-23.35,43.6667,22.09,43,0,2.9,MG,1717279562
269,ixtapa,20.7,-105.2,29.57,70,20,5.14,MX,1717279562
270,colonia,50.9333,6.95,17.76,85,75,5.66,DE,1717279417
271,yangquan,37.8575,113.5633,22.58,46,100,5.91,CN,1717279563
272,shahr-e babak,30.1165,55.1186,26.84,11,0,3.55,IR,1717279563
273,dzilam gonzalez,21.2833,-88.9333,33.61,51,1,5.29,MX,1717279563
274,ta`u,-14.2336,-169.5144,27.83,74,98,8.76,AS,1717279563
275,sarangani,5.4033,125.4636,28.79,75,100,6.18,PH,1717279563
276,puerto deseado,-47.7503,-65.8938,5.01,94,100,4.82,AR,1717279563
277,gorey,52.6747,-6.2925,13.6,90,30,1.87,IE,1717279563
278,raghunathpur,23.55,86.6667,28.24,66,100,2.2,IN,1717279564
279,xilin hot,43.9667,116.0333,13.2,35,0,1.65,CN,1717279564
280,murghob,38.1702,73.9667,2.91,32,61,2.03,TJ,1717279564
281,pacific grove,36.6177,-121.9166,24.45,78,100,6.17,US,1717279564
282,punta gorda,26.9298,-82.0454,33.03,51,0,6.17,US,1717279448
283,nuku'alofa,-21.1333,-175.2,25.19,61,20,6.17,TO,1717279564
284,pavlovsk,50.4578,40.1081,17.74,82,48,1.76,RU,1717279564
285,paciran,-6.8767,112.3761,25.49,91,29,3.32,ID,1717279564
286,pailin,12.849,102.6093,24.46,93,100,1.76,KH,1717279565
287,chulakkurgan,43.765,69.1814,21.49,24,0,4.17,KZ,1717279565
288,jandiala guru,31.5614,75.0267,28.96,23,2,2.43,IN,1717279565
289,st. john's,47.5649,-52.7093,7.53,97,100,4.63,CA,1717279565
